source_path,recipe_type,output,sha256,status
src/main/resources/assets/advancedrocketry/recipes/planetholoselector.json,minecraft:crafting_shaped,advancedrocketry:planetholoselector,794d5bdc79dabf8ab00d4ecb7495d39fe48c4a889dd2fe4a9864527953f6cc9e,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/planetidchip.json,minecraft:crafting_shapeless,advancedrocketry:planetidchip,c588fe0bb756a7ac5af53acca29009819bd6b27f73ec47cfbd487e5b694bd27e,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/platepress.json,minecraft:crafting_shaped,advancedrocketry:platepress,dd73f76edb37ce003d310d57ef56d463769de97a92244a43a9aca7f2bf4f7318,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/precisionassemblingmachine.json,minecraft:crafting_shaped,advancedrocketry:precisionassemblingmachine,1bbaa809272edde1c796b329877f2b578ebcaa7ec4cad431b6082d04aa0ac292,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/precisionlaseretcher.json,minecraft:crafting_shaped,advancedrocketry:precisionlaseretcher,8c19d19f83d150674e89ceaeacd27167a88fc2647d9c837c41d33838065dc40d,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/pressuretank.json,advancedrocketry:rollingmachine,,875a3123cd019393825b3e5006f16114906c9562f4c225a4bd9de9fa17b3dab9,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/quartz_crucible.json,minecraft:crafting_shaped,advancedrocketry:iquartzcrucible,74bffc3d4b1849b4aa264d54865587316a7d969376c622767b2b68a0909dc730,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/railgun.json,minecraft:crafting_shaped,advancedrocketry:railgun,d931de9179dba882fd08bd41ba3e5d5cf8334636a465da9f85b050127174ba2b,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rocketbuilder.json,minecraft:crafting_shaped,advancedrocketry:rocketbuilder,18dfe75aab5060a90eb54cf7349acb252f94b0e8bc76117a34449f0e8f228d35,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rocketfluidloader.json,minecraft:crafting_shapeless,advancedrocketry:loader,6b3a355666d7bd07dfa81ff02b78d1da14964014da7b1c93d973417bd9e3ea8c,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rocketfluidloader2.json,minecraft:crafting_shapeless,advancedrocketry:loader,b07396dd7a12603dcc7f9fc074cca6c9e4fac0c82276d7f84a2d014fde7afaa6,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rocketfluidunloader.json,minecraft:crafting_shapeless,advancedrocketry:loader,2117ce3e68fea882d4fe7bb747b02464b892b27492e1c5eef256bfd61d7a03e8,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rocketfluidunloader2.json,minecraft:crafting_shapeless,advancedrocketry:loader,fa4c1435712665f211d4d77be7a5b5b3febd80b0c4240daf89788853a7d3c34a,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rocketfuel.json,advancedrocketry:chemicalreactor,,7dc419333702326e38f1accd6eb929051d6b13f8f22a5763517bdb499d881a72,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rocketloader.json,minecraft:crafting_shapeless,advancedrocketry:loader,7d56d4ec4c5ffbabfb4b65f5bca7f703bc2819c7afc2cf4ccbce80da725fff5b,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rocketloader2.json,minecraft:crafting_shapeless,advancedrocketry:loader,8668bc2e36d03c0b3c659f6bdd1c3f2308d9801bd71be7ad58cf4883b99c649a,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rocketunloader.json,minecraft:crafting_shapeless,advancedrocketry:loader,6fac66553ef494ab0e10eceb4e77c5214fac0ca5c5eb1a32ac0a85dbc7eb213f,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rocketunloader2.json,minecraft:crafting_shapeless,advancedrocketry:loader,8b27827968eab33df3226fef9eeb6695802d44582a3505a35f727afac9f95310,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/rollingmachine.json,minecraft:crafting_shaped,advancedrocketry:rollingmachine,94f1953189c9bb2aa59fba9af62b17cdade8e3d3f217208cf28f817bed867ace,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/satellite.json,minecraft:crafting_shaped,advancedrocketry:satellite,22b37228d6ffd49269e2195cc56f9b866e8f9665c16602c6552516c83b1ce39e,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/satellitebay.json,minecraft:crafting_shaped,advancedrocketry:loader,d312b17da9d1b76e56e0d9cc37ff9fea3f563ce3d68818b9a32a30bfa107429a,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/satellitebuilder.json,minecraft:crafting_shaped,advancedrocketry:satellitebuilder,a349249b69471c02cc51d368644a93b1d7060fc18efc846f6a9d98b08b620df7,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/satellitecontrolcenter.json,minecraft:crafting_shaped,advancedrocketry:satellitecontrolcenter,57e24476ee92a5f998c8a970059002ae96599e3bce54f42f198b2312c0d9c7b8,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/satelliteidchip.json,minecraft:crafting_shapeless,advancedrocketry:satelliteidchip,27170e6ab80aa401f0407030954d0c3284e33f32128f4f90727c5779ccfbf8c1,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/sawblade.json,minecraft:crafting_shaped,advancedrocketry:sawblade,09ef239f3b313913ae61ba0bb3145f630cadeeb57abb3753e2688d5d48c14b20,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/sawbladeiron.json,minecraft:crafting_shaped,advancedrocketry:sawbladeiron,9cad75f9f23ca9041e0cdb69fff5f3e24e4bb8ee0471d6745550cd666832f36c,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/sealdetector.json,minecraft:crafting_shaped,advancedrocketry:sealdetector,87474038174d0575786c96123e8ffe06b0cadb1225aa3121bee70f2231c3f6fd,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/siliconingot.json,advancedrocketry:electricarcfurnace,,b80c5091ce809754825c107a3f140ab759505ffec494c6bd2b92a10f9f4c0c43,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/siliconwafer.json,advancedrocketry:cuttingmachine,,d032ee90eec92a8601583d42010d657f53b472fbcf8b9aa5257b3aaaf007b5ce,VALID_JSON
