elapsed_seconds,client_id,latency_ms
2490.017,3,0.907
2490.017,4,15.31
2505.02,1,0.811
2505.02,2,19.648
2505.02,3,19.207
2505.02,4,0.596
2520.002,1,0.993
2520.002,2,0.643
2520.002,3,0.975
2520.002,4,0.638
2535.002,1,0.874
2535.002,2,0.789
2535.002,3,0.772
2535.002,4,0.519
2550.002,1,1.054
2550.002,2,0.774
2550.002,3,0.594
2550.002,4,0.545
2565.019,1,1.055
2565.019,2,1.104
2565.019,3,18.084
2565.019,4,1.111
2580.012,1,1.067
2580.012,2,0.72
2580.012,3,0.644
2580.012,4,10.277
2595.002,1,1.151
2595.002,2,0.666
2595.002,3,0.385
2595.002,4,0.628
2610.015,1,0.871
2610.015,2,14.366
2610.015,3,0.64
2610.015,4,0.633
2625.022,1,1.098
2625.022,2,0.781
2625.022,3,21.086
2625.022,4,0.926
2640.017,1,15.741
2640.017,2,15.717
2640.017,3,15.259
2640.017,4,15.296
2655.015,1,14.101
2655.015,2,0.771
2655.015,3,0.596
2655.015,4,0.54
2670.003,1,0.83
2670.003,2,2.041
2670.003,3,2.044
2670.003,4,2.117
2685.002,1,0.967
2685.002,2,1.123
2685.002,3,1.263
2685.002,4,0.696
2700.002,1,0.859
2700.002,2,1.289
2700.002,3,0.786
2700.002,4,0.804
2715.002,1,0.803
2715.002,2,0.778
2715.002,3,0.755
2715.002,4,0.628
2730.021,1,20.274
2730.021,2,0.966
2730.021,3,1.036
2730.021,4,0.666
2745.002,1,0.853
2745.002,2,0.998
2745.002,3,1.249
2745.002,4,0.667
2760.016,1,1.214
2760.016,2,14.561
2760.016,3,14.664
2760.016,4,14.028
2775.017,1,1.108
2775.017,2,0.898
2775.017,3,0.859
2775.017,4,13.688
2790.002,1,0.978
2790.002,2,0.965
2790.002,3,0.896
2790.002,4,0.961
2805.013,1,1.16
2805.013,2,1.147
2805.013,3,10.996
2805.013,4,11.529
2820.011,1,0.887
2820.011,2,0.913
2820.011,3,10.013
2820.011,4,0.526
2835.002,1,1.036
2835.002,2,0.854
2835.002,3,1.173
2835.002,4,0.789
2850.016,1,0.932
2850.016,2,0.888
2850.016,3,0.763
2850.016,4,13.978
2865.017,1,15.875
2865.017,2,0.776
2865.017,3,0.689
2865.017,4,0.603
2880.002,1,1.513
2880.002,2,0.857
2880.002,3,0.502
2880.002,4,1.091
2895.027,1,26.505
2895.027,2,0.751
2895.027,3,26.032
2895.027,4,25.893
2910.018,1,16.643
2910.018,2,1.052
2910.018,3,0.986
2910.018,4,16.188
2925.013,1,11.758
2925.013,2,11.564
2925.013,3,0.708
2925.013,4,0.687
2940.026,1,1.275
2940.026,2,0.66
2940.026,3,0.629
2940.026,4,24.809
2955.021,1,19.763
2955.021,2,0.556
2955.021,3,19.105
2955.021,4,19.196
2970.017,1,0.795
2970.017,2,0.821
2970.017,3,14.84
2970.017,4,0.556
2985.002,1,0.935
2985.002,2,0.998
2985.002,3,1.13
2985.002,4,0.809
3000.026,1,25.224
3000.026,2,0.81
3000.026,3,0.788
3000.026,4,0.755
3015.013,1,11.55
3015.013,2,11.954
3015.013,3,0.568
3015.013,4,0.49
3030.02,1,19.623
3030.02,2,19.254
3030.02,3,19.251
3030.02,4,0.602
3045.027,1,0.946
3045.027,2,0.91
3045.027,3,26.078
3045.027,4,0.599
3060.018,1,1.343
3060.018,2,0.914
3060.018,3,15.898
3060.018,4,15.202
3075.021,1,0.968
3075.021,2,1.212
3075.021,3,20.049
3075.021,4,19.326
3090.017,1,0.952
3090.017,2,0.932
3090.017,3,0.881
3090.017,4,14.981
3105.025,1,0.958
3105.025,2,0.75
3105.025,3,23.43
3105.025,4,22.939
3120.012,1,0.963
3120.012,2,0.723
3120.012,3,10.603
3120.012,4,10.694
3135.013,1,1.046
3135.013,2,0.807
3135.013,3,11.383
3135.013,4,11.481
3150.023,1,22.315
3150.023,2,21.936
3150.023,3,22.476
3150.023,4,21.942
3165.002,1,1.04
3165.002,2,1.339
3165.002,3,0.828
3165.002,4,0.929
3180.002,1,0.971
3180.002,2,0.881
3180.002,3,0.648
3180.002,4,0.733
3195.022,1,0.839
3195.022,2,0.744
3195.022,3,20.602
3195.022,4,20.471
3210.002,1,0.94
3210.002,2,0.631
3210.002,3,0.603
3210.002,4,0.601
3225.02,1,0.789
3225.02,2,19.466
3225.02,3,0.627
3225.02,4,0.389
3240.002,1,0.949
3240.002,2,0.714
3240.002,3,0.715
3240.002,4,0.561
3255.002,1,0.931
3255.002,2,1.147
3255.002,3,0.676
3255.002,4,0.641
3270.026,1,1.01
3270.026,2,0.778
3270.026,3,24.461
3270.026,4,23.91
3285.014,1,13.329
3285.014,2,1.087
3285.014,3,0.917
3285.014,4,0.512
3300.018,1,17.111
3300.018,2,17.359
3300.018,3,0.698
3300.018,4,0.68
3315.018,1,16.722
3315.018,2,0.818
3315.018,3,0.783
3315.018,4,0.501
3330.019,1,18.666
3330.019,2,0.725
3330.019,3,0.621
3330.019,4,0.548
3345.024,1,0.966
3345.024,2,23.114
3345.024,3,22.737
3345.024,4,22.477
3360.026,1,25.414
3360.026,2,0.864
3360.026,3,24.941
3360.026,4,0.717
3375.015,1,0.833
3375.015,2,14.077
3375.015,3,0.854
3375.015,4,0.537
3390.004,1,1.197
3390.004,2,1.241
3390.004,3,0.836
3390.004,4,0.891
3405.015,1,0.873
3405.016,2,0.549
3405.016,3,13.973
3405.016,4,14.13
3420.019,1,0.991
3420.019,2,0.958
3420.019,3,0.63
3420.019,4,17.984
3435.002,1,0.922
3435.002,2,0.904
3435.002,3,0.913
3435.002,4,0.502
3450.002,1,1.414
3450.002,2,1.051
3450.002,3,0.678
3450.002,4,1.109
3465.012,1,11.033
3465.012,2,10.744
